essay_id,true_score,model_a_pred,model_c_pred,model_d_pred,abs_error_diff_d_vs_a,concreteness_raw,specificity_raw,emotional_salience_raw,personal_experience_salience_raw,narrative_event_density_raw
8633,1.0,1.8886728286743164,1.6390715762670207,1.648282905248188,0.24038992342612842,0.02,0.035,0.035,0.02,0.005
5287,1.0,3.027799606323242,2.987149674433161,2.8109985013959036,0.21680110492733862,0.0071599045346062,0.0047732696897374,0.0453460620525059,0.0477326968973747,0.0
10478,2.0,2.6742331981658936,2.623047611758706,2.474804987440347,0.1994282107255465,0.0044247787610619,0.0088495575221238,0.0398230088495575,0.0707964601769911,0.0088495575221238
23624,1.0,1.2085273265838623,0.7754618080232409,0.983821230318708,0.19234855690257036,0.065359477124183,0.0718954248366013,0.0065359477124183,0.0,0.0
7715,1.0,1.913986325263977,1.6652416918316317,1.7253734484124306,0.18861287685154648,0.0483870967741935,0.0161290322580645,0.021505376344086,0.0,0.0
6960,2.0,2.4140892028808594,2.272745123853098,2.2258009099949345,0.18828829288592486,0.0157480314960629,0.0118110236220472,0.0354330708661417,0.0275590551181102,0.0039370078740157
2674,6.0,4.364553928375244,4.369103901773588,4.549945542445579,0.1853916140703351,0.0,0.0079787234042553,0.0,0.0066489361702127,0.0053191489361702
1342,5.0,4.293169021606445,4.294690666714869,4.474968796503788,0.18179977489734256,0.0,0.0117647058823529,0.0,0.0050420168067226,0.0016806722689075
4330,5.0,4.570329666137695,4.602578615471638,4.751754195789279,0.18142452965158373,0.0035906642728904,0.0053859964093357,0.0,0.0125673249551166,0.0035906642728904
1852,5.0,4.402498245239258,4.440792556322966,4.581893749552371,0.17939550431311346,0.0016155088852988,0.0032310177705977,0.0,0.0226171243941841,0.0064620355411954
4809,2.0,2.22125244140625,2.0408000483292015,2.0447323651830054,0.17652007622324462,0.032258064516129,0.0225806451612903,0.0225806451612903,0.0451612903225806,0.0096774193548387
23989,5.0,4.4670796394348145,4.465838568064337,4.643243894069885,0.17616425463507035,0.0039370078740157,0.0052493438320209,0.0,0.0078740157480314,0.0091863517060367
10757,5.0,4.6157965660095215,4.633783662599229,4.791727878458842,0.17593131244932092,0.0096153846153846,0.0019230769230769,0.0,0.0,0.0019230769230769
11835,4.0,3.766171932220459,3.743732388972816,3.9412772584580833,0.17510532623762431,0.0,0.0021505376344086,0.0,0.0086021505376344,0.0086021505376344
21364,5.0,4.266068458557129,4.253631735086014,4.441112572117986,0.17504411356085736,0.0,0.0071225071225071,0.0,0.0142450142450142,0.0128205128205128
1524,5.0,4.50553035736084,4.52349833218172,4.678786003094386,0.1732556457335459,0.005859375,0.005859375,0.0,0.009765625,0.00390625
827,5.0,4.154125213623047,4.160200696545404,4.327258834387224,0.17313362076417693,0.0045766590389016,0.0022883295194508,0.0,0.0091533180778032,0.0045766590389016
2967,5.0,4.423522472381592,4.393268806793182,4.595610144563247,0.17208767218165555,0.0,0.011441647597254,0.0,0.011441647597254,0.0160183066361556
22338,5.0,4.277928352355957,4.246077893481378,4.449882547312221,0.17195419495626396,0.0013986013986013,0.0139860139860139,0.0,0.0013986013986013,0.0069930069930069
22662,5.0,4.350517272949219,4.38460789609771,4.521739760435726,0.17122248748650737,0.0,0.0055865921787709,0.0,0.0335195530726257,0.0111731843575419
