essay_id,true_score,model_a_pred,model_c_pred,model_d_pred,abs_error_diff_d_vs_a,concreteness_raw,specificity_raw,emotional_salience_raw,personal_experience_salience_raw,narrative_event_density_raw
4917,2.0,1.7786118984222412,1.6180044171415782,1.5022380205542887,-0.27637387786795253,0.0164835164835164,0.0054945054945054,0.0439560439560439,0.0494505494505494,0.0109890109890109
5644,2.0,1.947903752326965,1.7172622663591497,1.7159959239800855,-0.23190782834687962,0.0204081632653061,0.0408163265306122,0.0306122448979591,0.0459183673469387,0.010204081632653
24392,3.0,2.2564468383789062,2.0067844039311757,2.025130970748609,-0.23131586763029732,0.05,0.0208333333333333,0.025,0.0166666666666666,0.0083333333333333
6721,3.0,2.275808811187744,2.0181694151783565,2.05238007193745,-0.22342873925029405,0.0694444444444444,0.0046296296296296,0.0185185185185185,0.0138888888888888,0.0138888888888888
18333,4.0,2.938939094543457,2.7937819291710557,2.7290916040721145,-0.20984749047134255,0.0032894736842105,0.0098684210526315,0.0460526315789473,0.0131578947368421,0.0098684210526315
21199,4.0,4.509449005126953,4.518912747643239,4.705042062290121,-0.1955930571631681,0.0,0.0045731707317073,0.0,0.0015243902439024,0.0060975609756097
2695,4.0,4.437759876251221,4.45620822250881,4.6333160518905725,-0.1955561756393518,0.0,0.0070298769771528,0.0,0.0,0.0
14451,2.0,2.1653528213500977,2.0322832126850616,1.6401326086937962,-0.19451456995610616,0.0,0.0,0.0877862595419847,0.0458015267175572,0.0038167938931297
1324,4.0,4.46486759185791,4.496569998726916,4.659032318331712,-0.19416472647380179,0.0,0.0018281535648994,0.0,0.0109689213893967,0.0054844606946983
23003,4.0,4.197925567626953,4.2139326351459,4.389646861355825,-0.1917212937288717,0.0,0.0024509803921568,0.0,0.0049019607843137,0.0024509803921568
21136,4.0,3.222623109817505,3.135993319535919,3.0310457264680517,-0.19157738334945318,0.0,0.0014992503748125,0.047976011994003,0.0134932533733133,0.0044977511244377
19216,2.0,1.954672574996948,1.703634299514668,1.7640286605600266,-0.1906439144369214,0.0,0.0131004366812227,0.0393013100436681,0.0131004366812227,0.0262008733624454
2356,4.0,4.246250152587891,4.251485582312368,4.4347457040946,-0.18849555150670927,0.0,0.0046296296296296,0.0,0.0046296296296296,0.0046296296296296
3610,4.0,4.45723819732666,4.463120156106336,4.6453206067857895,-0.18808240945912935,0.0,0.011400651465798,0.0,0.001628664495114,0.001628664495114
11371,4.0,4.35264778137207,4.349361624800373,4.535747399287499,-0.1830996179154285,0.0,0.0107758620689655,0.0,0.0043103448275862,0.0043103448275862
2869,4.0,4.06705904006958,4.081942902527125,4.249065615746155,-0.1820065756765752,0.0,0.003690036900369,0.0,0.0129151291512915,0.003690036900369
4255,4.0,4.373000621795654,4.386746704354254,4.554000625126514,-0.18100000333086008,0.0018181818181818,0.0072727272727272,0.0,0.009090909090909,0.0036363636363636
3863,4.0,4.296181678771973,4.302258934366937,4.475763369448513,-0.17958169067654062,0.0014556040756914,0.0087336244541484,0.0,0.007278020378457,0.0029112081513828
4346,4.0,4.160240173339844,4.218870992850924,4.339045819777919,-0.17880564643807517,0.0,0.0041152263374485,0.0,0.0288065843621399,0.0
1828,4.0,4.115927219390869,4.18323367680127,4.2941075402174125,-0.17818032082654334,0.0,0.0023474178403755,0.0,0.0328638497652582,0.0
